2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
566,10. 강원,양양군,2026 양양 남대천 벚꽃축제,02. 자연생태,송이조각공원 일원,02. 녹지형,10. 강원,양양군,양양읍,2026,4,,2026,4,,2,미정,01. 매년,2023,80,0,80,0,해당없음,"20,000","20,000",모름,99. 무응답,기타,양양문화재단,02. 재단(관광/문화/예술),양양문화재단 설립에 관한 조레,양양문화재단,축제기획팀,주임,이창희,033-671-7888,
567,10. 강원,양양군,2026 마을단위축제(3개 내외),03. 주민화합,양양군(공모 심의 선정),05. 기타,10. 강원,양양군,-,2026,4,,2026,11,,,미정,01. 매년,2022,35,0,35,0,해당없음,"3,000","3,000",모름,99. 무응답,기타,양양문화재단,02. 재단(관광/문화/예술),양양문화재단 설립에 관한 조레,양양문화재단,축제기획팀,주임,이창희,033-671-7888,
568,10. 강원,양양군,양양 서핑페스티벌,01. 문화예술,양양군 관내 해수욕장,03. 수변형,10. 강원,양양군,-,2026,8,1,2026,11,30,5,기간 중 프로그램 지속,01. 매년,2016,150,75,75,0,문화체육과,"58,251","58,251",모름,02. 추정,통신 데이터,양양군서핑협회,05. 민간 협/단체,비영리 민간단체,양양군청,관광문화과,주무관,김찬식,033-670-2726,
569,10. 강원,양양군,2026 양양송이연어축제,05. 지역특산물,양양 남대천 일원,03. 수변형,10. 강원,양양군,양양읍,2026,10,,2026,10,,3,미정,01. 매년,1996,"1,000",0,"1,000",0,해당없음,"127,027","127,027",모름,02. 추정,통신 데이터,양양문화재단,02. 재단(관광/문화/예술),양양문화재단 설립에 관한 조레,양양문화재단,축제기획팀,팀장,임현순,033-671-3803,
570,10. 강원,양양군,크리스마스 마켓&축제,01. 문화예술,낙산해변 알바트로스 광장 일원,02. 녹지형,10. 강원,양양군,강현면,2026,12,23,2026,12,27,5,,04. 최초,2026,50,0,50,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,양양문화재단,02. 재단(관광/문화/예술),양양문화재단 설립에 관한 조례,양양문화재단,창의예술팀,주임,장세미,033-671-7810,
571,11. 충북,-,충북 한우랑 브랜드랑 축제,05. 지역특산물,미정,06. 미정,11. 충북,-,-,2026,10,,2026,10,,3,미정,01. 매년,2008,72,0,36,36,해당없음,"3,000","3,000",모름,99. 무응답,,(사)전국한우협회 충북도지회,05. 민간 협/단체,"축산법 제3조, 충청북도 농어업 농촌 및 식품산업 지원에 관한 기본조례 ",충북도청,축수산과,주무관,이효원,043-220-3735,
572,11. 충북,-,제17회 영춘제,01. 문화예술,청남대 일원,04. 독립형,11. 충북,청주시,문의면,2026,4,,2026,5,,,미정,01. 매년,2010,100,0,100,0,해당없음,"81,245","81,245",모름,01. 계측,티켓판매,충청북도 청남대관리사업소 운영과,01. 정부/지자체,충청북도청남대 운영 조례,충청북도 청남대관리사업소,운영과,운영팀장,최동혁,043-220-6411,
573,11. 충북,-,제21회 가을축제,01. 문화예술,청남대 일원,04. 독립형,11. 충북,청주시,문의면,2026,10,,2026,11,,,미정,01. 매년,2006,100,0,100,0,해당없음,"142,124","142,124",모름,01. 계측,티켓판매,충청북도 청남대관리사업소 운영과,01. 정부/지자체,충청북도청남대 운영 조례,충청북도 청남대관리사업소,운영과,운영팀장,최동혁,043-220-6411,
574,11. 충북,청주시,2026 3·3데이 청주삼겹살 축제,05. 지역특산물,청주 서문시장 삼겹살거리 일원,01. 마을형,11. 충북,청주시,서문동,2026,3,2,2026,3,3,2,,01. 매년,2012,15,0,15,0,해당없음,"12,000","12,000",모름,01. 계측,유인,음식관광팀,01. 정부/지자체,해당없음,청주시청,관광과,주무관,이지영,043-201-2057,
575,11. 충북,청주시,2026 벚꽃과 함께하는 제5회 청주 푸드트럭 축제,03. 주민화합,청주 상당구 무심동로(청주대교~제1운천교) 일원,02. 녹지형,11. 충북,청주시,영동,2026,4,3,2026,4,5,3,,01. 매년,2023,100,0,100,0,해당없음,"430,000","430,000",모름,99. 무응답,,음식관광팀,01. 정부/지자체,해당없음,청주시청,관광과,주무관,박서은,043-201-2056,
576,11. 충북,청주시,2026 청주 미식·주(酒) 페스타,05. 지역특산물,청주 문화제조창 잔디광장 일원,02. 녹지형,11. 충북,청주시,내덕동,2026,10,24,2026,10,25,2,,01. 매년,2025,185,0,185,0,해당없음,"30,000","30,000",모름,01. 계측,유인,음식관광팀,01. 정부/지자체,해당없음,청주시청,관광과,주무관,박서은,043-201-2056,
577,11. 충북,청주시,2026 청주 디저트·베이커리 페스타,05. 지역특산물,청주 문화제조창 잔디광장 일원,02. 녹지형,11. 충북,청주시,내덕동,2026,10,31,2026,11,1,2,,01. 매년,2023,114,0,114,0,해당없음,"67,000","67,000",모름,01. 계측,유인,음식관광팀,01. 정부/지자체,해당없음,청주시청,관광과,주무관,이지영,043-201-2057,
578,11. 충북,청주시,2026 세종대왕과 초정약수축제,03. 주민화합,초정행궁일원,04. 독립형,11. 충북,청주시,내수읍,2026,9,18,2026,9,20,3,,01. 매년,2006,"1,029",0,"1,029",0,해당없음,"160,000","160,000",모름,99. 무응답,기타,(사)청주예총,05. 민간 협/단체,한국예총 청주지부 조직 및 운영규정,청주시청,관광과,주무관,김솔,043-201-1792,
579,11. 충북,청주시,한여름밤 오싹 호러 페스티벌,03. 주민화합,성안길(중앙역사공원~철당간) 일원,01. 마을형,11. 충북,청주시,-,2026,8,21,2026,8,23,3,,01. 매년,2025,"1,000",0,"1,000",0,해당없음,"32,000","32,000",모름,01. 계측,유인,청주시청,01. 정부/지자체,해당없음,청주시청,관광과,주무관,박지영,043-201-1793,
580,11. 충북,청주시,2026 청주시 도시농업 페스티벌,01. 문화예술,청주시농업기술센터 유기농복합단지 일원,04. 독립형,11. 충북,청주시,-,2026,5,14,2026,5,17,4,,01. 매년,2023,500,0,500,0,해당없음,"60,252","60,252",모름,02. 추정,주차면수,청주시농업기술센터,01. 정부/지자체,청주시 도시농업의 육성 및 지원에 관한 조례 제10조,청주시청,도시농업관,주문관,육민규,043-201-3943,
581,11. 충북,청주시,대한민국 정원박람회 2026 청주 가드닝페스티벌,02. 자연생태,생명누리공원,02. 녹지형,11. 충북,청주시,청원구,2026,5,7,2026,5,10,4,,01. 매년,2018,"1,000",500,500,0,무응답,"25,000","25,000",모름,99. 무응답,기타,청주시 공원조성과,01. 정부/지자체,해당없음,청주시청,공원조성과,주무관,김동원,043-201-2805,
582,11. 충북,청주시,2026 청원생명축제,05. 지역특산물,오창읍 미래지농촌테마공원,02. 녹지형,11. 충북,청주시,오창읍,2026,10,2,2026,10,11,10,,01. 매년,2008,"3,074",0,"3,074",0,해당없음,"653,185","653,185",모름,01. 계측,유인,청원생명축제추진위원회,04. 지자체 위원회,청주시청원생명축제추진위원회 설치 및 운영조례,청주시청,농업정책과,주무관,이선동,043-201-2132,
583,11. 충북,청주시,2026 직지문화축제,04. 전통역사,"직지문화특구 일원(고인쇄박물관, 청주예술의전당 등)",01. 마을형,11. 충북,청주시,-,2026,9,4,2026,9,6,3,,02. 격년,2003,"2,000",0,"2,000",0,해당없음,"143,354","143,354",모름,01. 계측,유인,청주시직지가치증진위원회,04. 지자체 위원회,청주시 직지 가치 증진 조례,청주시청,학예연구실,주무관,최동진,043-201-3662,
584,11. 충북,청주시,2026 청주 국가유산 야행,04. 전통역사,청주시 원도심 일원,05. 기타,11. 충북,청주시,성안동,2026,4,24,2026,4,26,3,,01. 매년,2016,408,163,245,0,국가유산청,"100,000","97,900","2,100",99. 무응답,기타,청주시문화산업진흥재단,02. 재단(관광/문화/예술),청주시 문화산업진흥재단 설립 및 운영ㆍ지원 조례,청주시청,문화유산과,주무관,함수현,043-201-2436,
585,11. 충북,청주시,2026 국가유산 미디어아트 청주,01. 문화예술,청주시 원도심 일원,05. 기타,11. 충북,청주시,성안동,2026,8,28,2026,9,17,21,,04. 최초,2026,"1,400",700,700,0,국가유산청,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,청주시문화산업진흥재단,02. 재단(관광/문화/예술),청주시 문화산업진흥재단 설립 및 운영ㆍ지원 조례,청주시청,문화유산과,주무관,함수현,043-201-2436,
586,11. 충북,청주시,원도심골목길축제<봄:중앙극장>,01. 문화예술,상당구 중앙동 일원,05. 기타,11. 충북,청주시,중앙동,2026,4,25,2026,4,26,2,,01. 매년,2023,120,0,120,0,해당없음,"25,000","25,000",모름,01. 계측,유인,청주시문화산업진흥재단,02. 재단(관광/문화/예술),청주시 문화산업진흥재단 설립 및 운영지원 조례,청주시청,문화예술과,주무관,박은정,043-201-2018,
587,11. 충북,청주시,청남대 재즈토닉페스티벌,01. 문화예술,청남대 일원,04. 독립형,11. 충북,청주시,문의면,2026,5,22,2026,5,24,3,,01. 매년,2017,520,0,400,120,해당없음,"23,000","23,000",모름,01. 계측,티켓판매,㈜청주방송,06. 민간 사업체,해당없음,청주시청,문화예술과,주무관,전재영,043-201-2014,
588,11. 충북,청주시,원도심골목길축제<여름:성안이즈백>,01. 문화예술,상당구 성안동 일원,05. 기타,11. 충북,청주시,성안동,2026,8,29,2026,8,30,2,,01. 매년,2023,90,0,90,0,해당없음,"82,000","82,000",모름,01. 계측,유인,청주시문화산업진흥재단,02. 재단(관광/문화/예술),청주시 문화산업진흥재단 설립 및 운영지원 조례,청주시청,문화예술과,주무관,박은정,043-201-2018,
589,11. 충북,청주시,청주읍성큰잔치,01. 문화예술,청주 중앙공원 일원,02. 녹지형,11. 충북,청주시,성안동,2026,9,5,2026,9,6,2,,01. 매년,2009,280,0,280,0,해당없음,"35,000","35,000",모름,99. 무응답,기타,청주문화원,02. 재단(관광/문화/예술),청주시 문화원 육성 및 진흥에 관한 조례,청주시청,문화예술과,주무관,김이슬,043-201-2013,
590,11. 충북,청주시,동부창고페스타,01. 문화예술,동부창고 일원,04. 독립형,11. 충북,청주시,내덕동,2026,9,12,2026,9,13,2,,01. 매년,2023,90,0,90,0,해당없음,"15,000","15,000",모름,99. 무응답,기타,청주시문화산업진흥재단,02. 재단(관광/문화/예술),청주시 문화산업진흥재단 설립 및 운영·지원 조례,청주시청,문화예술과,주무관,이가빈,043-201-2033,
591,11. 충북,청주시,원도심골목길축제<가을:집대성>,01. 문화예술,상당구 대성동 일원,05. 기타,11. 충북,청주시,대성동,2026,11,7,2026,11,8,2,,01. 매년,2023,70,0,70,0,해당없음,"5,100","5,100",모름,01. 계측,유인,청주시문화산업진흥재단,02. 재단(관광/문화/예술),청주시 문화산업진흥재단 설립 및 운영지원 조례,청주시청,문화예술과,주무관,박은정,043-201-2018,
592,11. 충북,청주시,힙한 청주 페스티벌 in 제조창,01. 문화예술,청주 문화제조창 잔디광장,02. 녹지형,11. 충북,청주시,내덕동,2026,8,15,2026,8,16,2,,01. 매년,2025,250,0,250,0,해당없음,"9,300","9,300",모름,01. 계측,유인,충청북도 청주시,01. 정부/지자체,해당없음,청주시청,문화예술과,주무관,김성희,043-201-2016,
593,11. 충북,충주시,제54회 우륵문화제,01. 문화예술,탄금공원,02. 녹지형,11. 충북,충주시,칠금동,2026,10,7,2026,10,11,5,,01. 매년,1971,600,0,600,0,해당없음,"60,000","60,000",0,02. 추정,통신 데이터,(사)한국예술문화단체총연합회 충주지회,05. 민간 협/단체,"민법 제32조, 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조",충주시청,문화예술과,주무관,라광흠,043-850-5962,
594,11. 충북,충주시,목계별신제,04. 전통역사,엄정면 목계나루 일원,03. 수변형,11. 충북,충주시,엄정면,2026,4,25,2026,4,26,2,,01. 매년,1960,90,0,90,0,해당없음,"3,000","3,000",0,02. 추정,주차면수,중원목계문화보존회,05. 민간 협/단체,,충주시청,문화예술과,주무관,김우정,043-850-5964,
595,11. 충북,충주시,2026 충주 국가유산 야행,04. 전통역사,관아공원,02. 녹지형,11. 충북,충주시,성내동,2026,9,4,2026,9,6,3,,03. 일회성,2021,250,100,150,0,국가유산청,"18,200","18,200",0,01. 계측,유인,충주문화관광재단,02. 재단(관광/문화/예술),충주시 중원문화관광재단 설립 및 운영에 관한 조례,충주시청,문화예술과,주무관,최경훈,043-850-5986,
596,11. 충북,충주시,2026년 충주씨 농산물직거래 한마당,05. 지역특산물,탄금공원 일원,02. 녹지형,11. 충북,충주시,금릉동,2026,10,17,2026,10,18,2,,01. 매년,2017,200,0,200,0,해당없음,"410,000","410,000",모름,02. 추정,통신 데이터,ㅇ충주시  ㅇ충주농협조합공동사업법인,03. 기타 공공,충주시 통합마케팅 전문조직 육성 및 활성화 지원에 관한 조례,충주시청,농식품유통과,주무관,이금주,043-850-5781,
597,11. 충북,충주시,충주호 벚꽃축제,01. 문화예술,충주다목적댐 물문화관 일원,03. 수변형,11. 충북,충주시,동량면,2026,4,,2026,4,,3,미정,01. 매년,2011,35,0,35,0,해당없음,"6,412","6,412",모름,02. 추정,통신 데이터,(사)충주시사회단체연합회,05. 민간 협/단체,,충주시청,관광과,주무관,노혜란,043-850-6723,
598,11. 충북,충주시,제41회 수안보온천제,01. 문화예술,수안보 물탕공원 일원,02. 녹지형,11. 충북,충주시,수안보면,2026,4,,2026,4,,3,미정,01. 매년,1985,130,0,130,0,해당없음,"52,000","52,000",모름,02. 추정,통신 데이터,(사)수안보온천관광협의회,05. 민간 협/단체,관광진흥법 제48조의9,충주시청,관광과,주무관,서종원,043-850-6721,
599,11. 충북,충주시,충주다이브페스티벌,01. 문화예술,충주종합운동장 일원,04. 독립형,11. 충북,충주시,호암직동,2026,6,11,2026,6,14,4,,01. 매년,2023,"1,980",280,"1,700",0,문화체육관광부,"222,654","221,821",833,02. 추정,통신 데이터,(재)충주문화관광재단,02. 재단(관광/문화/예술),충주시 문화관광재단 설립 및 운영에 관한 조례,충주시청,관광과,주무관,서종원,043-850-6721,
600,11. 충북,충주시,비내섬 축제,01. 문화예술,비내섬 일원,03. 수변형,11. 충북,충주시,앙성면,2026,10,,2026,10,,2,미정,01. 매년,2023,100,0,100,0,해당없음,"5,421","5,421",모름,02. 추정,통신 데이터,(사)앙성온천관광협의회,05. 민간 협/단체,관광진흥법 제48조의9,충주시청,관광과,주무관,서종원,043-850-6721,
601,11. 충북,제천시,2026 제3회 제천빨간오뎅축제,05. 지역특산물,제천역 광장 일원,02. 녹지형,11. 충북,제천시,-,2026,2,28,2026,3,2,3,,01. 매년,2025,80,0,80,0,해당없음,"20,000","20,000",모름,99. 무응답,,제천시관광협의회,05. 민간 협/단체,제천시 관광협의회 설립 및 지원에 관한 조례,제천시청,관광과,주무관,이경미,043-641-6703,
602,11. 충북,제천시,제30회 제천청풍호벚꽃축제,02. 자연생태,청풍면 물태리 일원,05. 기타,11. 충북,제천시,-,2026,4,3,2026,4,5,3,,01. 매년,1997,80,0,60,20,해당없음,"20,000","20,000",모름,99. 무응답,,제천문화재단,02. 재단(관광/문화/예술),제천문화재단 설립 및 운영에 관한 조례,제천시청,문화예술과,주무관,이신탁,043-641-5513,
603,11. 충북,제천시,2026 제천 임산물 숲푸드 축제,05. 지역특산물,의림지 수변무대,03. 수변형,11. 충북,제천시,모산동,2026,6,13,2026,6,14,2,,04. 최초,2026,40,0,36,4,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,(사)한국전문임업인협회 제천협의호,05. 민간 협/단체,제천시 임업인 등의 육성 및 지원 조례,제천시청,산림과,주무관,우효영,043-641-6484,
604,11. 충북,제천시,제24회 월악산송계양파축제,05. 지역특산물,한수체육문화공원,02. 녹지형,11. 충북,제천시,한수면,2026,7,,2026,7,,3,미정,01. 매년,2003,45,0,45,0,해당없음,"2,500","2,500",모름,99. 무응답,기타,월악산양파영농조합법인,05. 민간 협/단체,-,제천시청,유통축산과,주무관,남동현,043-641-6052,
605,11. 충북,제천시,슬로시티 수산  힐링축제,03. 주민화합,수산면 옥순봉 생태공원 일원,02. 녹지형,11. 충북,제천시,수산면,2026,10,23,2026,10,25,3,,01. 매년,2018,27,0,27,0,해당없음,"4,000","4,000",모름,99. 무응답,기타,수산슬로시티협의회,05. 민간 협/단체,제천시 슬로시티 지원 및 운영에 관한 조레,제천시청,관광과,주무관,유선유,043-641-6702,
606,11. 충북,제천시,제7회 봉양박달콩축제,05. 지역특산물,봉양읍 문화복지센터,04. 독립형,11. 충북,제천시,봉양읍,2026,11,,2026,11,,2,미정,01. 매년,2019,50,0,50,0,해당없음,"3,000","3,000",모름,99. 무응답,기타,봉양읍축제추진위원회,04. 지자체 위원회,-,제천시청,유통축산과,주무관,남동현,043-641-6052,
607,11. 충북,제천시,2026년 제천 수제맥주&달빛야시장 축제,03. 주민화합,제천 문화의거리 일원,01. 마을형,11. 충북,제천시,-,2026,9,,2026,9,,3,미정,01. 매년,2022,75,0,75,0,해당없음,"14,000","14,000",모름,99. 무응답,기타,(재)제천문화재단,02. 재단(관광/문화/예술),제천문화재단 설립 및 운영에 관한 조례,제천시청,일자리경제과,주무관,김영은,043-641-6606,
608,11. 충북,제천시,제5회 덕산양채축제,01. 문화예술,덕산면 근린공원,02. 녹지형,11. 충북,제천시,덕산면,2026,10,,2026,10,,2,미정,01. 매년,2022,47,0,47,0,해당없음,"1,000","1,000",0,01. 계측,유인,덕산양채축제추진위원회,04. 지자체 위원회,-,제천시청,덕산면,주무관,이승목,043-641-4226,
609,11. 충북,보은군,2026 보은벚꽃길축제,02. 자연생태,보은군이음센터 일원,04. 독립형,11. 충북,보은군,보은읍,2026,4,3,2026,4,12,10,,01. 매년,2024,400,0,400,0,해당없음,"240,129","240,129",0,02. 추정,통신 데이터,보은군축제추진위원회,04. 지자체 위원회,보은군 축제 지원 및 운영 조례,보은군청,문화관광과,주무관,김민재,043-540-3392,
610,11. 충북,보은군,2026 보은대추축제,05. 지역특산물,뱃들공원 및 속리산 일원,02. 녹지형,11. 충북,보은군,보은읍,2026,10,,2026,10,,10,미정,01. 매년,2007,"1,400",0,"1,400",0,해당없음,"456,190","456,190",0,02. 추정,통신 데이터,보은군축제추진위원회,04. 지자체 위원회,보은군 축제 지원 및 운영 조례,보은군청,문화관광과,주무관,김민재,043-540-3392,
611,11. 충북,옥천군,제24회 옥천묘목축제,05. 지역특산물,옥천묘목공원 일원,02. 녹지형,11. 충북,옥천군,이원면,2026,4,2,2026,4,5,4,,01. 매년,1999,420,0,420,0,해당없음,"53,127","53,127",모름,01. 계측,유인,옥천묘목축제추진위원회,04. 지자체 위원회,-,옥천군청,산림과,주무관,유철,043-730-3592,
612,11. 충북,옥천군,제7회 청산생선국수 축제,05. 지역특산물,청산면 지전리 일원,05. 기타,11. 충북,옥천군,청산면,2026,4,4,2026,4,5,2,,01. 매년,2017,59,0,59,0,해당없음,"3,000","3,000",모름,99. 무응답,,청산면민협의회,05. 민간 협/단체,-,옥천군청,청산면,주무관,김관오,043-730-3444,
613,11. 충북,옥천군,제3회 향수옥천 유채꽃 축제,01. 문화예술,옥천 금강수변 친수공원,02. 녹지형,11. 충북,옥천군,동이면,2026,4,,2026,4,,,미정,01. 매년,2023,73,0,73,0,해당없음,미집계,미집계,미집계,03. 미집계,,축제추진위원회,04. 지자체 위원회,-,옥천군청,문화관광과,주무관,이경연,043-730-3403,
614,11. 충북,옥천군,제39회 지용제,01. 문화예술,정지용 생가 및 구읍 일원,04. 독립형,11. 충북,옥천군,옥천읍,2026,5,15,2026,5,18,4,,01. 매년,1987,600,0,600,0,해당없음,"92,712","92,712",모름,01. 계측,유인,축제추진위원회,04. 지자체 위원회,지방문화원진흥법,옥천군청,문화관광과,주무관,장은정,043-730-3402,
615,11. 충북,옥천군,2026 제17회 향수옥천 포도복숭아 축제,05. 지역특산물,옥천공설운동장 일원,03. 수변형,11. 충북,옥천군,옥천읍,2026,7,,2026,8,,3,미정,01. 매년,2007,526,0,526,0,해당없음,"70,600","70,600",모름,01. 계측,유인,옥천군,01. 정부/지자체,지방자치법,옥천군청,농업정책과,주무관,박민,043-730-3842,
616,11. 충북,옥천군,2026년 제16회 옥수수감자 축제,05. 지역특산물,안내면종합축제장 일원,04. 독립형,11. 충북,옥천군,안내면,2026,7,11,2026,7,12,2,,01. 매년,2008,83,0,58,25,해당없음,"5,200","5,200",모름,01. 계측,유인,옥수수감자축제추진위원회,04. 지자체 위원회,-,옥천군청,안내면,주무관,이주연,043-730-4614,
617,11. 충북,영동군,2026 영동곶감축제,05. 지역특산물,영동 하상주차장일원,04. 독립형,11. 충북,영동군,-,2026,1,30,2026,2,1,3,,01. 매년,2003,600,0,600,0,해당없음,"76,600","76,600",0,01. 계측,무인,(재)영동군 문화관광재단,02. 재단(관광/문화/예술),영동군 문화관광재단 설립 및 지원 조례,영동군,산림녹지과,산림정책팀장,김호욱,043-740-3311,
618,11. 충북,영동군,제15회 대한민국와인축제,05. 지역특산물,영동 하상주차장일원(예정),04. 독립형,11. 충북,영동군,-,2026,,,2026,,,,미정,01. 매년,2010,590,0,590,0,해당없음,"113,006","113,006",0,02. 추정,통신 데이터,(재)영동군 문화관광재단,02. 재단(관광/문화/예술),영동군 문화관광재단 설립 및 지원 조례,영동군,농업연구과,주무관,장미선,043-740-5542,
619,11. 충북,영동군,2026 영동포도축제,05. 지역특산물,영동 레인보우힐링광장(예정),02. 녹지형,11. 충북,영동군,-,2026,,,2026,,,,미정,01. 매년,2004,946,0,946,0,해당없음,"180,000","180,000",0,01. 계측,유인,(재)영동군 문화관광재단,02. 재단(관광/문화/예술),영동군 문화관광재단 설립 및 지원 조례,영동군,스마트농업과,주무관,황민호,043-740-3472,
620,11. 충북,영동군,제57회 영동난계국악축제,01. 문화예술,영동 레인보우힐링광장(예정),02. 녹지형,11. 충북,영동군,-,2026,,,2026,,,,미정,01. 매년,1965,"1,100",0,"1,100",0,해당없음,"76,600","76,600",0,01. 계측,유인,(재)영동군 문화관광재단,02. 재단(관광/문화/예술),영동군 문화관광재단 설립 및 지원 조례,영동군,국악문화예술과,주무관,이규은,043-740-3523,
621,11. 충북,증평군,증평인삼골축제,05. 지역특산물,보강천체육공원일원,02. 녹지형,11. 충북,증평군,증평읍,2026,,,2026,,,4,미정,01. 매년,1992,410,0,410,0,해당없음,"310,000","305,000","5,000",99. 무응답,기타,증평문화원,02. 재단(관광/문화/예술),지방문화원진흥법,증평군,문화관광과,행정6급,심서영,043-835-4112,
622,11. 충북,증평군,증평들노래축제,04. 전통역사,증평민속체험박물관 일원,04. 독립형,11. 충북,증평군,증평읍,2026,6,13,2026,6,14,2,,01. 매년,2004,63,0,63,0,해당없음,"10,000","10,000",0,99. 무응답,기타,장뜰두레회,05. 민간 협/단체,증평군 문화예술 진흥 조례,증평군,문화관광과,행정9급,김수연,043-835-4134,
623,11. 충북,진천군,제26회 생거진천 농다리축제,01. 문화예술,진천 농다리 일원,03. 수변형,11. 충북,진천군,문백면,2026,,,2026,,,,미정,01. 매년,2000,450,0,450,0,해당없음,"494,542","494,542",모름,01. 계측,무인,생거진천문화재단,02. 재단(관광/문화/예술),생거진천 문화재단 설립 및 운영 조례,생거진천문화재단,문화콘텐츠팀,대리,문혁주,043-532-3325,
624,11. 충북,진천군,제47회 생거진천문화축제,01. 문화예술,백곡천 일원,03. 수변형,11. 충북,진천군,진천읍,2026,,,2026,,,,미정,01. 매년,1979,748,0,748,0,해당없음,"275,853","275,853",모름,01. 계측,무인,생거진천문화재단,02. 재단(관광/문화/예술),생거진천 문화재단 설립 및 운영 조례,생거진천문화재단,문화콘텐츠팀,대리,이진희,043-532-3325,
625,11. 충북,진천군,제15회 생거진천 평생학습축제,03. 주민화합,백곡천 일원,03. 수변형,11. 충북,진천군,진천읍,2026,10,,2026,10,,3,미정,01. 매년,2008,69,0,69,0,해당없음,"8,183","8,183",모름,99. 무응답,기타,진천군평생학습협의회,05. 민간 협/단체,진천군 평생학습 조례,진천군,평생학습센터,주무관,형인경,043-539-3742,
626,11. 충북,진천군,제11회 참숯마실축제,03. 주민화합,진천 숯산업클러스터 특구 부지,03. 수변형,11. 충북,진천군,백곡면,2026,10,,2026,10,,2,미정,01. 매년,2015,80,0,80,0,해당없음,"80,000","80,000",모름,99. 무응답,기타,백곡면축제추진위원회,04. 지자체 위원회,비영리민간단체 지원법,진천군,산림녹지과,주무관,허현미,043-539-4102,
627,11. 충북,진천군,제14회 생거진천예술제,01. 문화예술,진천 농다리 일원,03. 수변형,11. 충북,진천군,문백면,2026,10,,2026,10,,,미정,01. 매년,2013,100,0,100,0,해당없음,"100,000","100,000",모름,01. 계측,무인,사)진천예총,05. 민간 협/단체,비영리민간단체 지원법,진천군,문화관광과,주무관,최유진,043-539-3603,
628,11. 충북,괴산군,괴산빨간맛페스티벌,05. 지역특산물,유기농엑스포광장 및 동진천 하상 일원,02. 녹지형,11. 충북,괴산군,-,2026,5,22,2026,5,24,3,,01. 매년,2024,500,0,500,0,해당없음,"235,238","235,238",모름,01. 계측,유인,괴산축제위원회,04. 지자체 위원회,괴산축제위원회 운영에 관한 조례 ,괴산군청,문화관광과,주무관,김소영,043-830-3463,
629,11. 충북,괴산군,괴산고추축제,05. 지역특산물,유기농엑스포광장,02. 녹지형,11. 충북,괴산군,-,2026,9,,2026,9,,4,미정,01. 매년,2001,"1,090",0,"1,090",0,해당없음,"311,152","311,152",모름,01. 계측,유인,괴산축제위원회,04. 지자체 위원회,괴산축제위원회 운영에 관한 조례 ,괴산군청,문화관광과,주무관,민헤만,043-830-3462,
630,11. 충북,괴산군,괴산김장축제,05. 지역특산물,유기농엑스포광장,02. 녹지형,11. 충북,괴산군,-,2026,11,,2026,11,,4,미정,01. 매년,2019,800,0,800,0,해당없음,"123,394","123,394",모름,01. 계측,유인,괴산축제위원회,04. 지자체 위원회,괴산축제위원회 운영에 관한 조례 ,괴산군청,문화관광과,주무관,한재광,043-830-3464,
631,11. 충북,음성군,제27회 음성품바축제,01. 문화예술,설성공원 및 꽃동네 일원,02. 녹지형,11. 충북,음성군,음성읍,2026,6,10,2026,6,14,5,,01. 매년,2000,"1,100",0,"1,100",0,해당없음,"328,190","328,190",모름,01. 계측,무인,음성예총,05. 민간 협/단체,음성군 문화예술 지원 육성 조례,음성군,문화관광과,주무관,신유나,043-871-3415,
632,11. 충북,음성군,2026 음성명작 페스티벌,05. 지역특산물,금빛근린공원 일원,02. 녹지형,11. 충북,음성군,금왕읍,2026,9,17,2026,9,20,4,,01. 매년,2022,880,0,880,0,해당없음,"268,597","268,597",모름,01. 계측,무인,음성명작페스티벌 기획실무위원회,04. 지자체 위원회,음성군 축제 추진위원회,음성군,농정과,주무관,오찬교,043-871-3693,
633,11. 충북,음성군,제45회 설성문화제,04. 전통역사,미정,06. 미정,11. 충북,음성군,음성읍,2026,10,16,2026,10,17,2,,01. 매년,1982,550,0,550,0,해당없음,"44,288","44,288",모름,01. 계측,무인,음성문화원,02. 재단(관광/문화/예술),지방문화원진흥법,음성군,문화관광과,주무관,신유나,043-871-3415,
